Id,Category
0,shovel
1,rifle
2,scorpion
3,apple
4,spoon
5,pineapple
6,rifle
7,mouth
8,skateboard
9,rollerskates
10,peanut
11,rabbit
12,sink
13,sailboat
14,nose
15,nose
16,skull
17,mouth
18,pool
19,mouth
20,peanut
21,rifle
22,pear
23,scorpion
24,pillow
25,penguin
26,skull
27,skateboard
28,nail
29,pencil
30,penguin
31,empty
32,rollerskates
33,shovel
34,rifle
35,pool
36,peanut
37,pear
38,nail
39,rabbit
40,scorpion
41,spoon
42,spoon
43,rifle
44,spoon
45,pineapple
46,apple
47,skull
48,nose
49,pineapple
50,rifle
51,pineapple
52,mouth
53,sailboat
54,octagon
55,pineapple
56,rollerskates
57,mouth
58,mouth
59,mouth
60,moustache
61,spoon
62,mouth
63,penguin
64,empty
65,pool
66,paintbrush
67,pineapple
68,empty
69,pool
70,rabbit
71,panda
72,paintbrush
73,scorpion
74,penguin
75,parrot
76,screwdriver
77,shovel
78,pear
79,scorpion
80,paintbrush
81,parrot
82,rifle
83,paintbrush
84,mouth
85,rollerskates
86,scorpion
87,sink
88,screwdriver
89,skateboard
90,sink
91,pineapple
92,squiggle
93,mouth
94,mouth
95,moustache
96,rollerskates
97,empty
98,skull
99,rollerskates
100,octagon
101,nail
102,rabbit
103,mouth
104,parrot
105,pear
106,moustache
107,pillow
108,rhinoceros
109,pineapple
110,moustache
111,rabbit
112,nose
113,skateboard
114,apple
115,rollerskates
116,scorpion
117,mouth
118,paintbrush
119,penguin
120,rhinoceros
121,skateboard
122,screwdriver
123,skateboard
124,rabbit
125,moustache
126,paintbrush
127,rhinoceros
128,nail
129,screwdriver
130,rifle
131,sailboat
132,apple
133,paintbrush
134,pineapple
135,squiggle
136,pear
137,sailboat
138,moustache
139,spoon
140,moustache
141,empty
142,penguin
143,paintbrush
144,rabbit
145,paintbrush
146,rabbit
147,sailboat
148,paintbrush
149,shovel
150,skateboard
151,sailboat
152,pool
153,panda
154,nail
155,skateboard
156,pillow
157,rifle
158,sailboat
159,penguin
160,rhinoceros
161,pool
162,apple
163,parrot
164,rabbit
165,sink
166,octagon
167,mug
168,pencil
169,rabbit
170,skull
171,nose
172,octagon
173,skull
174,skateboard
175,spoon
176,pineapple
177,rifle
178,panda
179,scorpion
180,squiggle
181,rifle
182,panda
183,octagon
184,nail
185,shovel
186,spoon
187,rabbit
188,empty
189,mug
190,screwdriver
191,moustache
192,sink
193,penguin
194,mouth
195,sink
196,octagon
197,paintbrush
198,parrot
199,octagon
200,apple
201,spoon
202,apple
203,sink
204,rollerskates
205,moustache
206,peanut
207,rhinoceros
208,skull
209,paintbrush
210,scorpion
211,panda
212,moustache
213,peanut
214,nail
215,skull
216,penguin
217,mouth
218,pool
219,pool
220,screwdriver
221,shovel
222,pineapple
223,mouth
224,scorpion
225,rollerskates
226,rollerskates
227,rabbit
228,rifle
229,pineapple
230,screwdriver
231,nail
232,rifle
233,rifle
234,scorpion
235,screwdriver
236,rollerskates
237,pool
238,pineapple
239,skull
240,paintbrush
241,rhinoceros
242,sailboat
243,mug
244,pineapple
245,screwdriver
246,paintbrush
247,skateboard
248,screwdriver
249,rifle
250,moustache
251,pineapple
252,sailboat
253,squiggle
254,mouth
255,skull
256,mug
257,rollerskates
258,pillow
259,penguin
260,panda
261,penguin
262,apple
263,skull
264,octagon
265,peanut
266,pineapple
267,sailboat
268,pineapple
269,mouth
270,spoon
271,skull
272,pencil
273,skull
274,pool
275,penguin
276,sailboat
277,rifle
278,penguin
279,parrot
280,octagon
281,rabbit
282,pear
283,sink
284,mouth
285,screwdriver
286,pineapple
287,nose
288,skull
289,rabbit
290,pineapple
291,apple
292,rifle
293,pillow
294,octagon
295,penguin
296,panda
297,pool
298,paintbrush
299,pencil
300,paintbrush
301,moustache
302,mug
303,rabbit
304,rifle
305,empty
306,mouth
307,mug
308,moustache
309,pear
310,rabbit
311,parrot
312,nail
313,mug
314,rhinoceros
315,paintbrush
316,pear
317,paintbrush
318,screwdriver
319,penguin
320,skull
321,paintbrush
322,skateboard
323,skull
324,nail
325,rollerskates
326,pool
327,moustache
328,octagon
329,empty
330,panda
331,parrot
332,paintbrush
333,octagon
334,pencil
335,mug
336,parrot
337,mug
338,rollerskates
339,rifle
340,sailboat
341,pear
342,paintbrush
343,moustache
344,octagon
345,shovel
346,nail
347,penguin
348,parrot
349,rifle
350,pool
351,paintbrush
352,apple
353,octagon
354,octagon
355,rollerskates
356,empty
357,rifle
358,sailboat
359,sailboat
360,squiggle
361,mug
362,sailboat
363,rifle
364,apple
365,rollerskates
366,pillow
367,apple
368,nail
369,mug
370,paintbrush
371,parrot
372,panda
373,mouth
374,shovel
375,parrot
376,apple
377,penguin
378,skull
379,rhinoceros
380,paintbrush
381,paintbrush
382,mouth
383,mug
384,nail
385,rollerskates
386,panda
387,scorpion
388,pool
389,pool
390,skateboard
391,rifle
392,rifle
393,rollerskates
394,shovel
395,sailboat
396,nail
397,empty
398,mouth
399,peanut
400,nail
401,skull
402,screwdriver
403,rollerskates
404,pillow
405,skateboard
406,rifle
407,panda
408,sailboat
409,spoon
410,rhinoceros
411,mouth
412,parrot
413,rifle
414,scorpion
415,mouth
416,screwdriver
417,mug
418,spoon
419,rifle
420,rhinoceros
421,rifle
422,octagon
423,rifle
424,skateboard
425,skateboard
426,pineapple
427,sink
428,penguin
429,penguin
430,skateboard
431,mouth
432,panda
433,rollerskates
434,pool
435,pillow
436,mouth
437,pear
438,rollerskates
439,mouth
440,pineapple
441,skateboard
442,sailboat
443,skateboard
444,rifle
445,panda
446,nail
447,skateboard
448,empty
449,panda
450,penguin
451,rhinoceros
452,rollerskates
453,peanut
454,squiggle
455,rhinoceros
456,rollerskates
457,skateboard
458,pineapple
459,sailboat
460,empty
461,sink
462,octagon
463,sailboat
464,rifle
465,pineapple
466,sailboat
467,apple
468,skull
469,rabbit
470,paintbrush
471,apple
472,sailboat
473,octagon
474,moustache
475,empty
476,nose
477,nail
478,nail
479,scorpion
480,scorpion
481,squiggle
482,screwdriver
483,peanut
484,pillow
485,sailboat
486,moustache
487,rifle
488,pencil
489,skull
490,mouth
491,apple
492,penguin
493,rifle
494,sailboat
495,shovel
496,mouth
497,apple
498,pool
499,screwdriver
500,paintbrush
501,empty
502,skateboard
503,rhinoceros
504,spoon
505,peanut
506,paintbrush
507,paintbrush
508,moustache
509,pillow
510,scorpion
511,mouth
512,shovel
513,nail
514,parrot
515,pool
516,empty
517,rifle
518,nail
519,pencil
520,nose
521,pear
522,spoon
523,rollerskates
524,mug
525,spoon
526,skull
527,apple
528,penguin
529,pool
530,pineapple
531,shovel
