word	id	frequency
the	1	201199
and	2	98196
a	3	97825
of	4	87194
to	5	81493
is	6	64546
br	7	61430
it	8	57955
in	9	56030
i	10	53048
this	11	45725
that	12	43872
s	13	38270
was	14	28774
as	15	27855
for	16	26546
with	17	26405
movie	18	26343
but	19	25533
film	20	24169
t	21	20524
you	22	20522
on	23	20414
not	24	18404
he	25	17983
his	26	17740
are	27	17537
have	28	16731
be	29	16212
one	30	16024
all	31	14514
at	32	13982
by	33	13624
they	34	13488
an	35	12899
who	36	12857
so	37	12270
from	38	12183
like	39	12064
there	40	11296
her	41	10980
or	42	10723
just	43	10681
about	44	10433
out	45	10268
if	46	10131
has	47	10022
what	48	9634
some	49	9413
good	50	9049
can	51	8892
more	52	8590
when	53	8563
she	54	8431
very	55	8386
up	56	7870
would	57	7654
even	58	7611
no	59	7565
time	60	7523
my	61	7488
story	62	7273
which	63	7156
only	64	7116
really	65	7000
see	66	6906
had	67	6807
their	68	6669
me	69	6538
we	70	6499
were	71	6457
well	72	6298
than	73	5994
much	74	5814
been	75	5609
do	76	5590
also	77	5580
will	78	5578
bad	79	5554
get	80	5538
other	81	5523
people	82	5522
great	83	5473
first	84	5461
because	85	5440
into	86	5429
don	87	5367
how	88	5366
most	89	5288
him	90	5241
made	91	4982
its	92	4872
could	93	4867
make	94	4861
them	95	4826
then	96	4810
way	97	4769
too	98	4701
movies	99	4543
after	100	4525
any	101	4510
think	102	4358
characters	103	4281
character	104	4230
films	105	4172
watch	106	4144
two	107	4116
seen	108	3987
many	109	3982
plot	110	3981
acting	111	3917
life	112	3904
being	113	3895
never	114	3883
love	115	3872
best	116	3839
little	117	3823
where	118	3791
did	119	3787
show	120	3777
over	121	3771
know	122	3691
ever	123	3623
off	124	3589
man	125	3528
does	126	3523
your	127	3446
here	128	3415
better	129	3404
end	130	3361
still	131	3341
say	132	3270
scene	133	3241
why	134	3239
these	135	3214
while	136	3213
scenes	137	3136
go	138	3115
m	139	3115
ve	140	3082
should	141	3060
such	142	3042
something	143	2999
through	144	2990
back	145	2982
now	146	2805
real	147	2798
watching	148	2772
those	149	2753
though	150	2742
re	151	2708
old	152	2701
years	153	2697
doesn	154	2683
thing	155	2679
director	156	2659
actors	157	2653
work	158	2608
didn	159	2608
new	160	2580
another	161	2578
before	162	2564
actually	163	2563
nothing	164	2554
makes	165	2525
funny	166	2501
few	167	2472
same	168	2466
look	169	2460
again	170	2422
find	171	2417
going	172	2402
every	173	2397
cast	174	2348
part	175	2330
lot	176	2321
world	177	2305
down	178	2259
us	179	2255
young	180	2210
want	181	2208
quite	182	2207
got	183	2206
things	184	2199
pretty	185	2190
around	186	2168
seems	187	2167
10	188	2159
enough	189	2135
however	190	2128
thought	191	2123
horror	192	2110
fact	193	2085
long	194	2056
series	195	2053
big	196	2048
own	197	2035
give	198	2026
may	199	2026
take	200	2021
right	201	2019
action	202	2016
both	203	2009
must	204	2003
original	205	1994
between	206	1986
d	207	1960
role	208	1957
without	209	1955
always	210	1929
comedy	211	1926
saw	212	1913
point	213	1907
family	214	1895
times	215	1894
gets	216	1890
