word	id	frequency
the	1	46529
and	2	30692
i	3	29126
a	4	25150
to	5	21191
it	6	14512
of	7	14457
was	8	13736
is	9	12120
for	10	10743
in	11	10401
that	12	8885
you	13	8318
my	14	7768
with	15	7584
but	16	7496
this	17	7217
they	18	6992
s	19	6683
on	20	6476
we	21	6380
t	22	6213
have	23	5995
not	24	5317
had	25	5042
are	26	5030
good	27	4731
so	28	4729
place	29	4648
at	30	4521
food	31	4304
were	32	4113
as	33	3968
there	34	3938
be	35	3937
great	36	3617
like	37	3499
if	38	3345
all	39	3286
me	40	3228
out	41	3197
just	42	3160
very	43	3097
here	44	3072
one	45	2856
or	46	2786
can	47	2770
get	48	2702
their	49	2701
from	50	2588
up	51	2519
go	52	2501
when	53	2419
time	54	2417
our	55	2396
really	56	2385
about	57	2324
some	58	2274
service	59	2207
what	60	2156
would	61	2143
an	62	2071
your	63	2042
back	64	2015
which	65	2014
been	66	2014
more	67	1868
ve	68	1784
only	69	1774
also	70	1767
don	71	1753
no	72	1743
will	73	1741
by	74	1715
m	75	1620
too	76	1610
love	77	1605
nice	78	1557
has	79	1544
little	80	1539
well	81	1520
other	82	1501
because	83	1463
them	84	1425
always	85	1418
do	86	1390
than	87	1384
even	88	1365
he	89	1353
us	90	1334
best	91	1332
she	92	1304
after	93	1299
pretty	94	1284
got	95	1273
chicken	96	1230
much	97	1224
restaurant	98	1209
try	99	1203
menu	100	1166
ordered	101	1161
people	102	1139
first	103	1120
know	104	1114
could	105	1102
order	106	1100
over	107	1098
think	108	1098
friendly	109	1084
bar	110	1079
am	111	1076
went	112	1073
make	113	1069
staff	114	1059
never	115	1050
didn	116	1046
did	117	1042
off	118	1040
then	119	1039
better	120	1038
night	121	1036
who	122	1024
way	123	1022
re	124	1020
going	125	990
how	126	984
right	127	976
cheese	128	974
2	129	973
pizza	130	950
made	131	945
delicious	132	944
few	133	942
two	134	941
say	135	926
came	136	918
now	137	915
want	138	903
salad	139	898
come	140	887
5	141	880
lunch	142	880
sauce	143	872
again	144	872
any	145	867
new	146	864
take	147	857
still	148	847
fresh	149	847
3	150	833
ll	151	820
while	152	818
before	153	811
day	154	809
see	155	809
experience	156	805
eat	157	805
sure	158	805
down	159	802
since	160	797
definitely	161	780
wait	162	776
happy	163	770
something	164	770
d	165	768
her	166	768
find	167	767
around	168	765
everything	169	754
amazing	170	753
most	171	753
ever	172	748
every	173	743
times	174	742
many	175	742
though	176	735
bit	177	735
bad	178	719
dinner	179	717
give	180	715
table	181	715
said	182	710
area	183	709
meal	184	707
next	185	707
location	186	702
lot	187	701
into	188	694
its	189	690
thing	190	688
phoenix	191	682
where	192	679
side	193	679
being	194	677
both	195	672
hour	196	670
small	197	666
last	198	664
another	199	648
4	200	645
prices	201	639
favorite	202	630
home	203	611
hot	204	607
big	205	607
sandwich	206	604
drink	207	600
beer	208	599
store	209	599
tasty	210	592
stars	211	591
things	212	585
drinks	213	584
sweet	214	579
wasn	215	579
1	216	578
his	217	575
burger	218	575
awesome	219	567
feel	220	565
minutes	221	564
long	222	562
wine	223	561
looking	224	559
fries	225	559
worth	226	557
should	227	552
enough	228	549
atmosphere	229	548
work	230	546
bread	231	546
took	232	542
different	233	539
need	234	534
room	235	531
price	236	531
old	237	530
taste	238	523
tried	239	515
excellent	240	514
recommend	241	512
huge	242	512
clean	243	511
breakfast	244	511
ok	245	507
10	246	506
friends	247	503
coffee	248	501
years	249	501
friend	250	501
actually	251	500
meat	252	500
selection	253	498
free	254	493
these	255	492
those	256	489
asked	257	488
once	258	481
visit	259	480
scottsdale	260	479
places	261	478
super	262	475
found	263	474
special	264	473
nothing	265	470
server	266	467
check	267	466
probably	268	465
quality	269	465
flavor	270	463
quite	271	462
